Отметка времени,"How to fix ""Value too large for defined data type"" error from GCC (C Compiler)?",How to allocate IPv6 addresses in the organization without site-local addresses?,What does ARM instruction FJCVTZS (Floating-point JavaScript Convert to Signed fixed-point) do?,How to get a visualization of Control Flow Graph for LLVM IR?,What does $ (dollar sign) operator do in Haskell?,How to exit VIM?,How to enable log rotation in docker compose?,What mechanism used to avoid transmission collision in ethernet network with bus topology?,"How to use ""useEffect"" function in React?",How to add a callback at object destruction in LLVM?,How many years of experience in programming do you have?,"What is your professional level? (if your company have another scale, choose the closest to you)"
2023/12/07 10:50:11 AM GMT+3,"Search engines (e.g., Google, Yandex)","Ask a colleague (e.g., verbally, write in Slack)","Documentation (e.g., wiki of project)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Documentation (e.g., wiki of project)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Documentation (e.g., wiki of project)",1-2 years,Junior
2023/12/07 10:56:58 AM GMT+3,"Search engines (e.g., Google, Yandex)","Ask a colleague (e.g., verbally, write in Slack)","Search engines (e.g., Google, Yandex)",ChatGPT / Other kind of AI chat bots,"Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)",StackOverflow,"Ask a colleague (e.g., verbally, write in Slack)",ChatGPT / Other kind of AI chat bots,"Search engines (e.g., Google, Yandex)",2-5 years,Middle
2023/12/07 11:07:28 AM GMT+3,"Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Documentation (e.g., wiki of project)","Search engines (e.g., Google, Yandex)","Documentation (e.g., wiki of project)","Search engines (e.g., Google, Yandex)","Documentation (e.g., wiki of project)","Search engines (e.g., Google, Yandex)","Documentation (e.g., wiki of project)","Search engines (e.g., Google, Yandex)",5-8 years,Middle
2023/12/07 11:14:39 AM GMT+3,"Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)",15-20 year,Senior
2023/12/07 11:15:29 AM GMT+3,"Documentation (e.g., wiki of project)","Ask a colleague (e.g., verbally, write in Slack)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Documentation (e.g., wiki of project)","Search engines (e.g., Google, Yandex)",2-5 years,Middle
2023/12/07 11:20:31 AM GMT+3,"Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Documentation (e.g., wiki of project)","Search engines (e.g., Google, Yandex)","Documentation (e.g., wiki of project)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Documentation (e.g., wiki of project)","Search engines (e.g., Google, Yandex)",11-15 years,Senior
2023/12/07 11:30:08 AM GMT+3,"Search engines (e.g., Google, Yandex)",ChatGPT / Other kind of AI chat bots,"Documentation (e.g., wiki of project)","Ask a colleague (e.g., verbally, write in Slack)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)",ChatGPT / Other kind of AI chat bots,StackOverflow,"Documentation (e.g., wiki of project)","Search engines (e.g., Google, Yandex)",2-5 years,Middle
2023/12/07 11:45:21 AM GMT+3,"Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)",15-20 year,Senior
2023/12/07 11:50:10 AM GMT+3,"Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)",5-8 years,Senior
2023/12/07 11:50:59 AM GMT+3,StackOverflow,"Documentation (e.g., wiki of project)","Documentation (e.g., wiki of project)","Search engines (e.g., Google, Yandex)",ChatGPT / Other kind of AI chat bots,"Documentation (e.g., wiki of project)","Documentation (e.g., wiki of project)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)",StackOverflow,Less than 1 year,Intern
2023/12/07 11:51:14 AM GMT+3,StackOverflow,"Search engines (e.g., Google, Yandex)","Documentation (e.g., wiki of project)",StackOverflow,"Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Documentation (e.g., wiki of project)","Documentation (e.g., wiki of project)",5-8 years,Intern
2023/12/07 11:51:50 AM GMT+3,"Documentation (e.g., wiki of project)","Documentation (e.g., wiki of project)","Documentation (e.g., wiki of project)","Documentation (e.g., wiki of project)","Ask a colleague (e.g., verbally, write in Slack)","Documentation (e.g., wiki of project)","Documentation (e.g., wiki of project)","Documentation (e.g., wiki of project)","Documentation (e.g., wiki of project)","Documentation (e.g., wiki of project)",2-5 years,Middle
2023/12/07 12:01:25 PM GMT+3,ChatGPT / Other kind of AI chat bots,"Documentation (e.g., wiki of project)","Search engines (e.g., Google, Yandex)","Ask a colleague (e.g., verbally, write in Slack)","Documentation (e.g., wiki of project)","Documentation (e.g., wiki of project)","Documentation (e.g., wiki of project)",ChatGPT / Other kind of AI chat bots,ChatGPT / Other kind of AI chat bots,ChatGPT / Other kind of AI chat bots,1-2 years,Junior
2023/12/07 12:12:56 PM GMT+3,"Search engines (e.g., Google, Yandex)",ChatGPT / Other kind of AI chat bots,"Search engines (e.g., Google, Yandex)",ChatGPT / Other kind of AI chat bots,StackOverflow,ChatGPT / Other kind of AI chat bots,ChatGPT / Other kind of AI chat bots,ChatGPT / Other kind of AI chat bots,"Documentation (e.g., wiki of project)","Documentation (e.g., wiki of project)",2-5 years,Junior
2023/12/07 12:20:23 PM GMT+3,"Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Documentation (e.g., wiki of project)",ChatGPT / Other kind of AI chat bots,"Search engines (e.g., Google, Yandex)",StackOverflow,"Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Documentation (e.g., wiki of project)",ChatGPT / Other kind of AI chat bots,5-8 years,Middle
2023/12/07 12:23:10 PM GMT+3,"Search engines (e.g., Google, Yandex)",StackOverflow,"Documentation (e.g., wiki of project)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Documentation (e.g., wiki of project)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)",2-5 years,Middle
2023/12/07 01:02:28 PM GMT+3,"Search engines (e.g., Google, Yandex)","Ask a colleague (e.g., verbally, write in Slack)","Search engines (e.g., Google, Yandex)",ChatGPT / Other kind of AI chat bots,"Ask a colleague (e.g., verbally, write in Slack)","Search engines (e.g., Google, Yandex)",StackOverflow,"Ask a colleague (e.g., verbally, write in Slack)",ChatGPT / Other kind of AI chat bots,"Search engines (e.g., Google, Yandex)",2-5 years,Middle
2023/12/07 01:15:21 PM GMT+3,"Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Documentation (e.g., wiki of project)",ChatGPT / Other kind of AI chat bots,"Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Documentation (e.g., wiki of project)",ChatGPT / Other kind of AI chat bots,5-8 years,Middle
